Zeit;Kanal A
(s);(V)

-2,4816499;1,407173
-2,4815999;1,407173
-2,4815499;1,407173
-2,4814999;1,407173
-2,4814499;1,407173
-2,4813999;1,407173
-2,4813499;1,360267
-2,4812999;1,407173
-2,4812499;1,407173
-2,4811999;1,407173
-2,4811499;1,407173
-2,4810999;1,407173
-2,4810499;1,407173
-2,4809999;1,407173
-2,4809499;1,407173
-2,4808999;1,407173
-2,4808499;1,407173
-2,4807999;1,407173
-2,4807499;1,454078
-2,4806999;1,407173
-2,4806499;1,407173
-2,4805999;1,407173
-2,4805499;1,407173
-2,4804999;1,407173
-2,4804499;1,407173
-2,4803999;1,407173
-2,4803499;1,407173
-2,4802999;1,407173
-2,4802499;1,407173
-2,4801999;1,407173
-2,4801499;1,407173
-2,4800999;1,407173
-2,4800499;1,407173
-2,4799999;1,407173
-2,4799499;1,407173
-2,4798999;1,407173
-2,4798499;1,407173
-2,4797999;1,407173
-2,4797499;1,407173
-2,4796999;1,407173
-2,4796499;1,407173
-2,4795999;1,407173
-2,4795499;1,407173
-2,4794999;1,454078
-2,4794499;1,407173
-2,4793999;1,407173
-2,4793499;1,407173
-2,4792999;1,407173
-2,4792499;1,454078
-2,4791999;1,407173
-2,4791499;1,407173
-2,4790999;1,407173
-2,4790499;1,407173
-2,4789999;1,407173
-2,4789499;1,407173
-2,4788999;1,407173
-2,4788499;1,407173
-2,4787999;1,407173
-2,4787499;1,454078
-2,4786999;1,407173
-2,4786499;1,454078
-2,4785999;1,407173
-2,4785499;1,407173
-2,4784999;1,407173
-2,4784499;1,407173
-2,4783999;1,407173
-2,4783499;1,407173
-2,4782999;1,407173
-2,4782499;1,407173
-2,4781999;1,407173
-2,4781499;1,407173
-2,4780999;1,407173
-2,4780499;1,360267
-2,4779999;1,407173
-2,4779499;1,407173
-2,4778999;1,407173
-2,4778499;1,407173
-2,4777999;1,407173
-2,4777499;1,407173
-2,4776999;1,407173
-2,4776499;1,454078
-2,4775999;1,407173
-2,4775499;1,407173
-2,4774999;1,407173
-2,4774499;1,407173
-2,4773999;1,407173
-2,4773499;1,407173
-2,4772999;1,454078
-2,4772499;1,407173
-2,4771999;1,407173
-2,4771499;1,407173
-2,4770999;1,407173
-2,4770499;1,407173
-2,4769999;1,407173
-2,4769499;1,407173
-2,4768999;1,407173
-2,4768499;1,407173
-2,4767999;1,407173
-2,4767499;1,454078
-2,4766999;1,407173
-2,4766499;1,407173
-2,4765999;1,407173
-2,4765499;1,407173
-2,4764999;1,407173
-2,4764499;1,454078
-2,4763999;1,407173
-2,4763499;1,407173
-2,4762999;1,407173
-2,4762499;1,407173
-2,4761999;1,454078
-2,4761499;1,407173
-2,4760999;1,407173
-2,4760499;1,407173
-2,4759999;1,407173
-2,4759499;1,407173
-2,4758999;1,407173
-2,4758499;1,407173
-2,4757999;1,454078
-2,4757499;1,454078
-2,4756999;1,407173
-2,4756499;1,454078
-2,4755999;1,407173
-2,4755499;1,407173
-2,4754999;1,407173
-2,4754499;1,407173
-2,4753999;1,407173
-2,4753499;1,407173
-2,4752999;1,360267
-2,4752499;1,407173
-2,4751999;1,407173
-2,4751499;1,407173
-2,4750999;1,407173
-2,4750499;1,407173
-2,4749999;1,454078
-2,4749499;1,407173
-2,4748999;1,407173
-2,4748499;1,407173
-2,4747999;1,407173
-2,4747499;1,407173
-2,4746999;1,407173
-2,4746499;1,407173
-2,4745999;1,407173
-2,4745499;1,407173
-2,4744999;1,407173
-2,4744499;1,407173
-2,4743999;1,407173
-2,4743499;1,407173
-2,4742999;1,407173
-2,4742499;1,407173
-2,4741999;1,454078
-2,4741499;1,407173
-2,4740999;1,407173
-2,4740499;1,407173
-2,4739999;1,407173
-2,4739499;1,407173
-2,4738999;1,407173
-2,4738499;1,407173
-2,4737999;1,407173
-2,4737499;1,407173
-2,4736999;1,407173
-2,4736499;1,407173
-2,4735999;1,407173
-2,4735499;1,407173
-2,4734999;1,407173
-2,4734499;1,407173
-2,4733999;1,407173
-2,4733499;1,407173
-2,4732999;1,407173
-2,4732499;1,407173
-2,4731999;1,454078
-2,4731499;1,407173
-2,4730999;1,407173
-2,4730499;1,407173
-2,4729999;1,407173
-2,4729499;1,407173
-2,4728999;1,407173
