Zeit;Kanal A
(ms);(mV)

-23,23666576;-0,37032480
-23,23166576;-1,29736700
-23,22666576;-0,37032480
-23,22166576;-1,11220500
-23,21666576;-1,11220500
-23,21166576;-0,92642710
-23,20666576;-0,74126480
-23,20166576;-0,37032480
-23,19666576;0,37032480
-23,19166576;1,11220500
-23,18666576;0,18516240
-23,18166576;1,11220500
-23,17666576;1,66830700
-23,17166576;2,40957200
-23,16666576;2,40957200
-23,16166576;3,33661400
-23,15666577;3,15145200
-23,15166577;2,78051200
-23,14666577;2,96628900
-23,14166577;2,59534900
-23,13666577;2,78051200
-23,13166577;2,40957200
-23,12666577;1,85346900
-23,12166577;2,03924700
-23,11666577;1,48314500
-23,11166577;0,18516240
-23,10666577;0,37032480
-23,10166577;0,00000000
-23,09666577;0,00000000
-23,09166577;-0,18516240
-23,08666577;0,00000000
-23,08166577;0,55610230
-23,07666577;0,18516240
-23,07166577;1,11220500
-23,06666577;1,11220500
-23,06166577;1,48314500
-23,05666577;1,66830700
-23,05166577;1,48314500
-23,04666577;1,66830700
-23,04166577;2,22440900
-23,03666577;2,40957200
-23,03166577;2,03924700
-23,02666577;2,59534900
-23,02166577;2,59534900
-23,01666577;2,40957200
-23,01166577;2,78051200
-23,00666577;2,96628900
-23,00166577;3,52239200
-22,99666577;3,70755400
-22,99166577;3,70755400
-22,98666577;4,07849400
-22,98166577;3,89271600
-22,97666577;3,52239200
-22,97166577;4,26365700
-22,96666577;4,07849400
-22,96166577;3,70755400
-22,95666577;2,96628900
-22,95166577;2,78051200
-22,94666577;2,78051200
-22,94166577;1,48314500
-22,93666577;2,59534900
-22,93166577;2,96628900
-22,92666577;2,03924700
-22,92166577;2,40957200
-22,91666577;0,92642710
-22,91166577;1,66830700
-22,90666577;1,11220500
-22,90166577;0,92642710
-22,89666577;0,92642710
-22,89166577;0,92642710
-22,88666577;0,55610230
-22,88166577;1,11220500
-22,87666577;0,74126480
-22,87166577;0,55610230
-22,86666577;0,37032480
-22,86166577;0,55610230
-22,85666577;0,18516240
-22,85166577;0,18516240
-22,84666577;0,18516240
-22,84166577;0,55610230
-22,83666577;1,66830700
-22,83166577;0,55610230
-22,82666577;0,74126480
-22,82166577;0,00000000
-22,81666577;0,00000000
-22,81166577;0,18516240
-22,80666577;-0,18516240
-22,80166577;0,00000000
-22,79666577;0,00000000
-22,79166577;0,00000000
-22,78666577;0,00000000
-22,78166577;0,18516240
-22,77666577;0,37032480
-22,77166577;0,55610230
-22,76666577;0,55610230
-22,76166578;0,55610230
-22,75666578;0,55610230
-22,75166578;0,18516240
-22,74666578;0,37032480
-22,74166578;0,00000000
-22,73666578;0,37032480
-22,73166578;0,00000000
-22,72666578;0,18516240
-22,72166578;0,00000000
-22,71666578;0,18516240
-22,71166578;0,00000000
-22,70666578;0,92642710
-22,70166578;-0,18516240
-22,69666578;-0,18516240
-22,69166578;0,18516240
-22,68666578;0,55610230
-22,68166578;0,00000000
-22,67666578;0,00000000
-22,67166578;-0,37032480
-22,66666578;0,00000000
-22,66166578;-0,18516240
-22,65666578;-0,37032480
-22,65166578;-1,11220500
-22,64666578;-0,92642710
-22,64166578;-0,74126480
-22,63666578;-1,66830700
-22,63166578;-1,11220500
-22,62666578;-1,48314500
-22,62166578;-1,29736700
-22,61666578;-2,78051200
-22,61166578;-2,59534900
-22,60666578;-3,15145200
-22,60166578;-3,33661400
-22,59666578;-4,07849400
-22,59166578;-4,44943400
-22,58666578;-4,44943400
-22,58166578;-4,44943400
-22,57666578;-4,44943400
-22,57166578;-4,07849400
-22,56666578;-3,70755400
-22,56166578;-3,52239200
-22,55666578;-2,03924700
-22,55166578;-1,85346900
-22,54666578;-1,11220500
-22,54166578;-0,74126480
-22,53666578;-0,18516240
-22,53166578;0,37032480
-22,52666578;4,44943400
-22,52166578;0,92642710
-22,51666578;0,37032480
-22,51166578;0,18516240
-22,50666578;-0,18516240
-22,50166578;0,18516240
-22,49666578;-0,37032480
-22,49166578;-0,55610230
-22,48666578;-0,18516240
-22,48166578;0,18516240
-22,47666578;0,18516240
-22,47166578;0,37032480
-22,46666578;0,74126480
-22,46166578;0,92642710
-22,45666578;1,66830700
-22,45166578;1,48314500
-22,44666578;2,03924700
-22,44166578;1,48314500
-22,43666578;2,59534900
-22,43166578;2,59534900
-22,42666578;2,40957200
-22,42166578;2,96628900
-22,41666578;2,03924700
-22,41166578;4,26365700
-22,40666578;2,40957200
-22,40166578;2,03924700
-22,39666578;1,48314500
-22,39166578;1,11220500
-22,38666578;0,74126480
-22,38166578;0,37032480
-22,37666578;0,37032480
-22,37166578;-0,37032480
-22,36666579;0,18516240
-22,36166579;0,00000000
-22,35666579;-0,37032480
-22,35166579;1,11220500
-22,34666579;1,29736700
-22,34166579;1,29736700
-22,33666579;1,85346900
-22,33166579;1,66830700
-22,32666579;2,78051200
-22,32166579;2,40957200
-22,31666579;2,40957200
-22,31166579;2,96628900
-22,30666579;2,40957200
-22,30166579;2,40957200
-22,29666579;2,03924700
-22,29166579;3,70755400
-22,28666579;3,15145200
-22,28166579;3,33661400
-22,27666579;3,33661400
-22,27166579;3,33661400
-22,26666579;3,33661400
-22,26166579;3,52239200
-22,25666579;4,07849400
-22,25166579;4,44943400
-22,24666579;4,07849400
-22,24166579;4,07849400
-22,23666579;3,52239200
-22,23166579;3,89271600
-22,22666579;2,96628900
-22,22166579;2,59534900
-22,21666579;2,40957200
